Source,Target,Weight
N14,N101,2
N18,N19,5
N19,N18,6
N102,N18,1
N32,N18,1
N103,N18,1
N104,N18,1
N22,N31,1
N22,N19,1
N61,N105,2
N18,N61,2
N18,N33,1
N33,N18,5
N18,N21,2
N21,N18,1
N100,N18,5
N106,N107,1
N108,N18,1
N109,N22,3
N18,N22,4
N110,N109,1
N75,N22,1
N109,N111,1
N75,N112,5
N75,N64,3
N75,N113,3
N75,N114,2
N75,N115,1
N75,N116,1
N117,N61,2
N80,N61,2
N61,N80,1
N99,N23,5
N99,N118,3
N27,N47,2
N119,N27,1
N43,N47,1
N43,N47,1
N47,N43,4
N47,N121,1
N47,N68,4
N47,N36,2
N45,N40,1
N45,N68,2
N47,N27,3
N49,N47,1
N47,N50,1
N47,N49,1
N47,N48,4
N47,N123,1
N96,N47,1
N54,N47,4
N47,N45,6
N51,N47,1
N47,N51,3
N52,N124,1
N56,N125,1
N56,N49,2
N97,N27,1
N27,N97,1
N27,N126,1
N22,N18,1
N29,N18,8
N127,N18,1
N61,N66,6
N18,N66,1
N66,N61,3
N61,N67,5
N61,N128,4
N129,N61,1
N128,N61,2
N75,N61,1
N61,N130,1
N131,N61,4
N18,N29,7
N18,N132,1
N133,N61,1
N62,N61,1
N29,N54,1
N70,N27,1
N29,N64,1
N29,N63,1
N134,N61,1
N18,N125,2
N29,N47,1
N27,N136,1
N27,N43,2
N29,N43,2
N47,N29,1
N43,N29,4
N51,N29,1
N27,N51,1
N29,N51,1
N136,N27,1
N54,N45,1
N45,N47,1
N50,N47,2
N68,N47,1
N77,N69,2
N77,N137,1
N69,N77,1
N77,N22,2
N54,N69,1
N68,N54,2
N68,N45,1
N69,N45,2
N51,N45,1
N27,N68,1
N138,N27,1
N98,N29,1
N29,N139,2
N139,N29,1
N43,N139,1
N47,N95,1
N140,N18,1
N18,N71,1
N18,52,4
N25,N18,1
N77,N114,1
N66,N61,1
N66,N19,1
N61,N62,1
N143,N144,1
N11,N12,1
N145,N11,2
N18,N146,1
N144,N11,1
N144,N143,1
N143,N11,2
N97,N68,1
N147,N47,1
N47,N56,1
N47,N97,1
N148,N36,1
N61,N36,2
N36,N61,2
N36,N27,2
N27,N36,1
N68,N149,1
N150,N68,1
N68,N151,1
N152,N68,1
N151,N47,4
N61,N70,1
N70,N68,3
N54,N68,1
N153,N18,1
N18,N34,3
N99,N18,1
N110,N18,1
