delta,tau,gamma,beta_s,beta_h,beta_c,c_w,c_c,r_w,r_c,y
0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.346809854706254
0.9775390625,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.6380290587492103
0.0029296875,0.8662109375,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.7356285533796588
0.0029296875,0.2509765625,0.1826171875,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.5953885028427037
0.0029296875,0.2509765625,0.9541015625,7.16796875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.7056222362602653
0.0029296875,0.2509765625,0.9541015625,19.82421875,5.17578125,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.6794061907770057
0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,16.50390625,61.42578125,90.91796875,37.79296875,91.50390625,0.3723941882501579
0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,87.40234375,90.91796875,37.79296875,91.50390625,0.5296904611497157
0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,63.18359375,37.79296875,91.50390625,0.17182564750473783
0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,44.62890625,91.50390625,0.2697409981048642
0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,43.84765625,0.7533164876816172
0.0029296875,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.3629185091598231
0.9775390625,0.2509765625,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.584017687934302
0.9775390625,0.8662109375,0.9541015625,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.5578016424510424
0.9775390625,0.8662109375,0.1826171875,19.82421875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.2994314592545799
0.9775390625,0.8662109375,0.1826171875,7.16796875,9.16015625,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.48768161718256475
0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,11.30859375,87.40234375,63.18359375,44.62890625,43.84765625,0.5938092229943146
0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,61.42578125,63.18359375,44.62890625,43.84765625,0.4542008843967151
0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,90.91796875,44.62890625,43.84765625,0.21288692356285535
0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,37.79296875,43.84765625,0.14181933038534428
0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,91.50390625,0.6017056222362602
0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.5233733417561592
0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.4750473783954517
0.4775390625,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.2368919772583702
