delta,tau,gamma,beta_s,beta_h,beta_c,c_w,c_c,r_w,r_c,y
0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.06599305336280392
0.9775390625,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.0
0.0029296875,0.8662109375,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.0
0.0029296875,0.2509765625,0.1826171875,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.20082096621408274
0.0029296875,0.2509765625,0.9541015625,7.16796875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.13545942532365013
0.0029296875,0.2509765625,0.9541015625,19.82421875,5.17578125,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.03568045468898011
0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,16.50390625,61.42578125,90.91796875,37.79296875,91.50390625,0.024313230186296178
0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,87.40234375,90.91796875,37.79296875,91.50390625,0.3324913167035049
0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,63.18359375,37.79296875,91.50390625,0.0
0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,44.62890625,91.50390625,0.02841806125670982
0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,43.84765625,0.09946321439848436
0.0029296875,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.1332491316703505
0.9775390625,0.2509765625,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.07893905904641617
0.9775390625,0.8662109375,0.9541015625,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.0
0.9775390625,0.8662109375,0.1826171875,19.82421875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.0053678560151563
0.9775390625,0.8662109375,0.1826171875,7.16796875,9.16015625,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.08462267129775813
0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,11.30859375,87.40234375,63.18359375,44.62890625,43.84765625,0.23650142090306284
0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,61.42578125,63.18359375,44.62890625,43.84765625,0.0
0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,90.91796875,44.62890625,43.84765625,0.01673508051784023
0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,37.79296875,43.84765625,0.21660877802336595
0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,91.50390625,0.03347016103568046
0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.04357436059362172
0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.09883170192611304
0.4775390625,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.017366592990211555
0.5029296875,0.3662109375,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.05336280391537733
0.5029296875,0.7509765625,0.6826171875,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.04420587306599305
0.5029296875,0.7509765625,0.4541015625,17.16796875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.001894537417113988
0.5029296875,0.7509765625,0.4541015625,9.82421875,15.17578125,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.048942216608778025
0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,6.50390625,11.42578125,40.91796875,87.79296875,41.50390625,0.023997473950110516
0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,37.40234375,40.91796875,87.79296875,41.50390625,0.06504578465424692
0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,13.18359375,87.79296875,41.50390625,0.00031575623618566466
0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,94.62890625,41.50390625,0.02557625513103884
0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,93.84765625,0.049257972844963686
0.5029296875,0.3662109375,0.6826171875,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.06030944111146195
0.4775390625,0.7509765625,0.6826171875,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.012946005683612252
0.4775390625,0.3662109375,0.4541015625,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.040732554467950745
0.4775390625,0.3662109375,0.6826171875,9.82421875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.09598989580044207
0.4775390625,0.3662109375,0.6826171875,17.16796875,19.16015625,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.048310704136406694
0.4775390625,0.3662109375,0.6826171875,17.16796875,15.17578125,1.30859375,37.40234375,13.18359375,94.62890625,93.84765625,0.00031575623618566466
0.4775390625,0.3662109375,0.6826171875,17.16796875,15.17578125,6.50390625,11.42578125,13.18359375,94.62890625,93.84765625,0.055257341332491314
