Unnamed: 0,delta,tau,gamma,beta_s,beta_h,beta_c,c_w,c_c,r_w,r_c,y
0,0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.022741629816803537
1,0.9775390625,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.06854074542008844
2,0.0029296875,0.8662109375,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.050852811118130135
3,0.0029296875,0.2509765625,0.1826171875,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.053379658875552745
4,0.0029296875,0.2509765625,0.9541015625,7.16796875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.02242577384712571
5,0.0029296875,0.2509765625,0.9541015625,19.82421875,5.17578125,11.30859375,61.42578125,90.91796875,37.79296875,91.50390625,0.09633607075173721
6,0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,16.50390625,61.42578125,90.91796875,37.79296875,91.50390625,0.08149084017687934
7,0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,87.40234375,90.91796875,37.79296875,91.50390625,0.11813013265950727
8,0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,63.18359375,37.79296875,91.50390625,0.07359444093493367
9,0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,44.62890625,91.50390625,0.06538218572331017
10,0.0029296875,0.2509765625,0.9541015625,19.82421875,9.16015625,11.30859375,61.42578125,90.91796875,37.79296875,43.84765625,0.030006317119393555
11,0.0029296875,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.04390397978521794
12,0.9775390625,0.2509765625,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.07264687302590019
13,0.9775390625,0.8662109375,0.9541015625,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.05590650663297536
14,0.9775390625,0.8662109375,0.1826171875,19.82421875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.10897030953885029
15,0.9775390625,0.8662109375,0.1826171875,7.16796875,9.16015625,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.03474415666456096
16,0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,11.30859375,87.40234375,63.18359375,44.62890625,43.84765625,0.0868603916614024
17,0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,61.42578125,63.18359375,44.62890625,43.84765625,0.07264687302590019
18,0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,90.91796875,44.62890625,43.84765625,0.15887555274794693
19,0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,37.79296875,43.84765625,0.013897662665824383
20,0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,91.50390625,0.026216045483259634
21,0.9775390625,0.8662109375,0.1826171875,7.16796875,5.17578125,16.50390625,87.40234375,63.18359375,44.62890625,43.84765625,0.0890713834491472
22,0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.03316487681617183
23,0.4775390625,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.06759317751105495
24,0.5029296875,0.3662109375,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.07075173720783323
25,0.5029296875,0.7509765625,0.6826171875,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.04643082754264056
26,0.5029296875,0.7509765625,0.4541015625,17.16796875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.07296272899557801
27,0.5029296875,0.7509765625,0.4541015625,9.82421875,15.17578125,1.30859375,11.42578125,40.91796875,87.79296875,41.50390625,0.002842703727100442
28,0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,6.50390625,11.42578125,40.91796875,87.79296875,41.50390625,0.09665192672141504
29,0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,37.40234375,40.91796875,87.79296875,41.50390625,0.07485786481364498
30,0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,13.18359375,87.79296875,41.50390625,0.03695514845230575
31,0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,94.62890625,41.50390625,0.10075805432722679
32,0.5029296875,0.7509765625,0.4541015625,9.82421875,19.16015625,1.30859375,11.42578125,40.91796875,87.79296875,93.84765625,0.10107391029690461
33,0.5029296875,0.3662109375,0.6826171875,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.04516740366392925
34,0.4775390625,0.7509765625,0.6826171875,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.027163613392293114
35,0.4775390625,0.3662109375,0.4541015625,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.06253948199620973
36,0.4775390625,0.3662109375,0.6826171875,9.82421875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.06696146557169931
37,0.4775390625,0.3662109375,0.6826171875,17.16796875,19.16015625,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.08338597599494631
38,0.4775390625,0.3662109375,0.6826171875,17.16796875,15.17578125,1.30859375,37.40234375,13.18359375,94.62890625,93.84765625,0.16803537586860393
39,0.4775390625,0.3662109375,0.6826171875,17.16796875,15.17578125,6.50390625,11.42578125,13.18359375,94.62890625,93.84765625,0.09349336702463676
40,0.4775390625,0.3662109375,0.6826171875,17.16796875,15.17578125,6.50390625,37.40234375,40.91796875,94.62890625,93.84765625,0.047378395451674035
41,0.4775390625,0.3662109375,0.6826171875,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,87.79296875,93.84765625,0.024636765634870498
42,0.4775390625,0.3662109375,0.6826171875,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,41.50390625,0.013581806696146557
43,0.4775390625,0.3662109375,0.6826171875,17.16796875,15.17578125,6.50390625,37.40234375,13.18359375,94.62890625,93.84765625,0.01831964624131396
44,0.7529296875,0.0009765625,0.7041015625,14.82421875,14.16015625,6.30859375,86.42578125,15.91796875,62.79296875,16.50390625,0.025584333543903978
45,0.2275390625,0.0009765625,0.7041015625,14.82421875,14.16015625,6.30859375,86.42578125,15.91796875,62.79296875,16.50390625,0.05243209096651927
46,0.7529296875,0.1162109375,0.7041015625,14.82421875,14.16015625,6.30859375,86.42578125,15.91796875,62.79296875,16.50390625,0.008528111181301326
47,0.7529296875,0.0009765625,0.4326171875,14.82421875,14.16015625,6.30859375,86.42578125,15.91796875,62.79296875,16.50390625,0.09696778269109287
48,0.7529296875,0.0009765625,0.7041015625,2.16796875,14.16015625,6.30859375,86.42578125,15.91796875,62.79296875,16.50390625,0.0704358812381554
49,0.7529296875,0.0009765625,0.7041015625,14.82421875,10.17578125,6.30859375,86.42578125,15.91796875,62.79296875,16.50390625,0.011686670878079595
50,0.7529296875,0.0009765625,0.7041015625,14.82421875,14.16015625,11.50390625,86.42578125,15.91796875,62.79296875,16.50390625,0.0868603916614024
51,0.7529296875,0.0009765625,0.7041015625,14.82421875,14.16015625,6.30859375,12.40234375,15.91796875,62.79296875,16.50390625,0.043588123815540114
52,0.7529296875,0.0009765625,0.7041015625,14.82421875,14.16015625,6.30859375,86.42578125,88.18359375,62.79296875,16.50390625,0.01547694251421352
53,0.7529296875,0.0009765625,0.7041015625,14.82421875,14.16015625,6.30859375,86.42578125,15.91796875,69.62890625,16.50390625,0.037586860391661404
54,0.7529296875,0.0009765625,0.7041015625,14.82421875,14.16015625,6.30859375,86.42578125,15.91796875,62.79296875,18.84765625,0.06790903348073278
55,0.7529296875,0.1162109375,0.4326171875,2.16796875,10.17578125,11.50390625,12.40234375,88.18359375,69.62890625,18.84765625,0.07991156032849021
56,0.2275390625,0.0009765625,0.4326171875,2.16796875,10.17578125,11.50390625,12.40234375,88.18359375,69.62890625,18.84765625,0.031901452937460516
57,0.2275390625,0.1162109375,0.7041015625,2.16796875,10.17578125,11.50390625,12.40234375,88.18359375,69.62890625,18.84765625,0.030322173089071383
58,0.2275390625,0.1162109375,0.4326171875,14.82421875,10.17578125,11.50390625,12.40234375,88.18359375,69.62890625,18.84765625,0.03790271636133923
59,0.2275390625,0.1162109375,0.4326171875,2.16796875,14.16015625,11.50390625,12.40234375,88.18359375,69.62890625,18.84765625,0.0634870499052432
60,0.2275390625,0.1162109375,0.4326171875,2.16796875,10.17578125,6.30859375,12.40234375,88.18359375,69.62890625,18.84765625,0.0445356917245736
61,0.2275390625,0.1162109375,0.4326171875,2.16796875,10.17578125,11.50390625,86.42578125,88.18359375,69.62890625,18.84765625,0.035375868603916616
62,0.2275390625,0.1162109375,0.4326171875,2.16796875,10.17578125,11.50390625,12.40234375,15.91796875,69.62890625,18.84765625,0.05053695514845231
63,0.2275390625,0.1162109375,0.4326171875,2.16796875,10.17578125,11.50390625,12.40234375,88.18359375,62.79296875,18.84765625,0.12571067593177512
64,0.2275390625,0.1162109375,0.4326171875,2.16796875,10.17578125,11.50390625,12.40234375,88.18359375,69.62890625,16.50390625,0.07517372078332281
65,0.2275390625,0.1162109375,0.4326171875,2.16796875,10.17578125,11.50390625,12.40234375,88.18359375,69.62890625,18.84765625,0.04990524320909665
